"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"ENSG00000000003","ENSG00000000003",0.0342090014608989,15.7233887979002,4.245445021489,14.2766112020998,0.00312552485971929,0.917525429560655,0.952266439132596
"ENSG00000000419","ENSG00000000419",0.0707452637636847,10.9414612869069,4.64098809805351,-4.94146128690688,0.0282852002544031,0.451121057676831,0.655453114793462
"ENSG00000000457","ENSG00000000457",0.0783176647125861,12.9760389001013,4.3715699072596,17.0239610998987,0.09802650514407,0.0546398480840751,0.259870476702467
"ENSG00000000460","ENSG00000000460",0.110744998511507,16.8395056977797,3.54933729890543,13.1604943022203,0.14126989113991,0.0131362114728064,0.130591702529486
"ENSG00000000938","ENSG00000000938",0.0874865710329129,4.40007177330124,0.880819932842504,1.59992822669876,0.0104403538629716,0.74866089552978,0.85122713080141
"ENSG00000000971","ENSG00000000971",0.0483429858234314,19.7793223184133,4.40803697295485,10.2206776815867,0.00306779459575846,0.918987959203223,0.953314752644838
"ENSG00000001036","ENSG00000001036",0.103966458565059,15.3289734042084,4.05014738765438,14.6710265957916,0.0775429886118069,0.103995710747179,0.342949138584486
"ENSG00000001084","ENSG00000001084",0.0583765410052628,20.1350987835456,6.47725354192923,9.86490121645437,0.0365632455957235,0.354936811394737,0.585110964304513
"ENSG00000001167","ENSG00000001167",0.0332088136679531,19.0709797688352,5.41760163240707,10.9290202311648,0.0256044261558588,0.487157232851949,0.68272782975708
"ENSG00000001460","ENSG00000001460",0.0290783665923754,14.8656032171989,3.43325168628465,15.1343967828011,0.00874887661076074,0.784913162506118,0.874979550699446
"ENSG00000001461","ENSG00000001461",0.0595597647413382,14.6021791998847,7.40918293068801,15.3978208001153,0.0569191663928261,0.194562091528823,0.449530800774207
"ENSG00000001497","ENSG00000001497",0.0932656152234535,20.4058928944181,4.71505048658333,9.59410710558187,0.0542672918917938,0.210635971986265,0.467300933509327
"ENSG00000001561","ENSG00000001561",0.115205397309808,13.6719751835544,6.9252880907172,16.3280248164456,0.107206998211246,0.04069378110474,0.230260705371325
"ENSG00000001617","ENSG00000001617",0.144330345836141,4.27902822563208,2.31878993378496,1.72097177436792,0.064321939953093,0.155700952667685,0.406349268708819
"ENSG00000001626","ENSG00000001626",0.153530200739999,18.4069476924175,3.45303883096935,11.5930523075825,0.0778525153507909,0.103020690985466,0.342137606760657
"ENSG00000001629","ENSG00000001629",0.0939048553503742,15.8880124714893,7.81055937372342,14.1119875285107,0.247369057318956,0.000278944799492753,0.0138615429877547
"ENSG00000001630","ENSG00000001630",0.170734723323038,6.45123588271022,2.50180228963174,-0.451235882710222,0.0718838086900159,0.12371337077795,0.368026715232769
"ENSG00000001631","ENSG00000001631",0.069614546470322,13.8480786195591,4.05427394249253,16.1519213804409,0.114440211612108,0.0321730128970833,0.206278664873395
"ENSG00000002016","ENSG00000002016",0.120541945370736,17.7913012366852,4.17484834402939,12.2086987633148,0.100185447967798,0.0510019334872563,0.252457100535886
"ENSG00000002330","ENSG00000002330",0.114091209843511,5.91931207324391,4.56116008215323,0.0806879267560854,0.190329170713767,0.00234335136487773,0.0519126826930284
"ENSG00000002549","ENSG00000002549",0.0551232414380699,11.3837013301166,5.61972144926057,-5.38370133011664,0.0302257653195641,0.426628785435048,0.636703590412703
"ENSG00000002586","ENSG00000002586",0.0888517654967918,18.4944611130544,4.45481722762045,11.5055388869456,0.010864449743904,0.739836321538866,0.845448439000433
